epoch,accuracy,loss,val_accuracy,val_loss
0,0.540125,1.5973770065307618,0.6675,1.1440499839782714
1,0.714625,0.9500120906829834,0.7285,0.8575443201065064
2,0.754875,0.7758118147850037,0.726,0.7690477008819581
3,0.772125,0.6955529842376709,0.7725,0.6955023703575134
4,0.787625,0.6452828364372254,0.7655,0.6637658524513245
5,0.795625,0.6105005550384521,0.7715,0.6301551485061645
6,0.802875,0.5859734010696411,0.791,0.6005000100135803
7,0.812125,0.5618034675121307,0.7935,0.5936767330169678
8,0.815375,0.5426681017875672,0.8,0.5718604254722596
9,0.823875,0.5267317266464233,0.808,0.5619565644264222
